Pemandu_ID,Nama_Pemandu,Optional_Bahasa,Umur,Jenis_Kelamin,Tempat,Pendidikan_Terakhir,Pekerjaan,Nomor_Telepon,Price_per_hour,Time_duration_in_min,Rating,Avatars
PMD000,Kani Puspasari,Inggris,23,Perempuan,South Solok,SD,Wartawan,+6283760988551,50000,300,3,xsgames.co/randomusers/avatar.php?g=female
PMD001,Lega Hardiansyah,Inggris,18,Laki-laki,Gowa,SMA,Wiraswasta,+6284225892082,66000,360,3,xsgames.co/randomusers/avatar.php?g=male
PMD002,"Ir. Zulfa Iswahyudi, S.E.I",Jepang,32,Perempuan,Kabupaten Gunung Kidul,S1,Guru,+6286605735920,82000,60,4,xsgames.co/randomusers/avatar.php?g=female
PMD003,Icha Kusumo,Mandarin,38,Laki-laki,Bogor,S1,Pengusaha,+6281121979913,126000,240,2,xsgames.co/randomusers/avatar.php?g=male
PMD004,KH. Ridwan Hariyah,Inggris,26,Laki-laki,Moskva,S1,Guru,+6282581398149,143000,180,4,xsgames.co/randomusers/avatar.php?g=male
PMD005,Harjo Lazuardi,Inggris,27,Laki-laki,Kabupaten Bantul,SD,Guru,+6280013385741,107000,360,5,xsgames.co/randomusers/avatar.php?g=male
PMD006,Zamira Mandasari,Jepang,21,Perempuan,Kota Batam,SMA,Wiraswasta,+6283670848042,127000,120,4,xsgames.co/randomusers/avatar.php?g=female
PMD007,Dinda Oktaviani,Jepang,23,Perempuan,Hancock County,S2,Guru,+6282371815787,69000,180,3,xsgames.co/randomusers/avatar.php?g=female
PMD008,"drg. Prabu Hutapea, S.Farm",Mandarin,31,Perempuan,Konawe,S2,Pengusaha,+6289105755164,150000,240,4,xsgames.co/randomusers/avatar.php?g=female
PMD009,Purwa Maryadi,Jepang,34,Laki-laki,Kabupaten Badung,SMP,Pengusaha,+6283144592437,90000,180,5,xsgames.co/randomusers/avatar.php?g=male
PMD010,Maras Siregar,Inggris,17,Laki-laki,Aceh Besar,SD,PNS,+6281907643907,89000,180,3,xsgames.co/randomusers/avatar.php?g=male
PMD011,Jaeman Putra,Mandarin,30,Laki-laki,Kabupaten Badung,SD,Guru,+6281552247950,86000,180,1,xsgames.co/randomusers/avatar.php?g=male
PMD012,Viktor Riyanti,Jepang,20,Laki-laki,Jayapura,S2,Dokter,+6284275073785,55000,300,4,xsgames.co/randomusers/avatar.php?g=male
PMD013,Septi Budiman,Jepang,21,Laki-laki,Bekasi,S2,Dokter,+6287269783650,103000,60,4,xsgames.co/randomusers/avatar.php?g=male
